blockLink href,listingCardImage src,ID,Price,Addresse,Latitude,Longitude,Nb_Chambres,Nb_Salles_de_bain,Pieds_carrés
https://www.realtor.ca/immobilier/27441406/7230-rue-alexandra-221-montr%C3%A9al-villeraysaint-michelparc-extension-villeray,https://cdn.realtor.ca/listings/TS638623420713100000/reb5/medres/3/27221263_1.jpg,27221263,499000,"7230 Rue Alexandra, #221, Montréal (Villeray/Saint-Michel/Parc-Extension), Québec",45.5326171,-73.6213049,2,1,737
https://www.realtor.ca/immobilier/27441397/225-rue-de-la-montagne-613-montr%C3%A9al-le-sud-ouest-griffintown,https://cdn.realtor.ca/listings/TS638623420693430000/reb5/medres/9/26302049_1.jpg,26302049,329900,"225 Rue de la Montagne, #613, Montréal (Le Sud-Ouest), Québec",45.49208549999999,-73.5603385,1,1,433
https://www.realtor.ca/immobilier/27441394/760-ch-marie-le-ber-106-montr%C3%A9al-verdun%C3%AEle-des-soeurs-%C3%AEle-des-soeurs,https://cdn.realtor.ca/listings/TS638623420684400000/reb5/medres/6/25850716_1.jpg,25850716,425000,"760 Ch. Marie-Le Ber, #106, Montréal (Verdun/Île-des-Soeurs), Québec",45.46441739999999,-73.5500725,1,1,690
https://www.realtor.ca/immobilier/27441340/2000-rue-drummond-603-montr%C3%A9al-ville-marie-mille-carr%C3%A9-dor%C3%A9,https://cdn.realtor.ca/listings/TS638623420599400000/reb5/medres/6/20376986_1.jpg,20376986,798000,"2000 Rue Drummond, #603, Montréal (Ville-Marie), Québec",45.4995317,-73.5763611,2,2,1176
https://www.realtor.ca/immobilier/27441328/4599-av-clanranald-506-montr%C3%A9al-c%C3%B4te-des-neigesnotre-dame-de-gr%C3%A2ce-c%C3%B4te-des-neiges,https://cdn.realtor.ca/listings/TS638623420565730000/reb5/medres/6/18936176_1.jpg,18936176,475000,"4599 Av. Clanranald, #506, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Québec",45.4790684,-73.6266129,1,1,638
https://www.realtor.ca/immobilier/27441323/1317-rue-la-fontaine-2-montr%C3%A9al-ville-marie-village,https://cdn.realtor.ca/listings/TS638623420556870000/reb5/medres/1/18484641_1.jpg,18484641,385000,"1317 Rue La Fontaine, #2, Montréal (Ville-Marie), Québec",45.5216775,-73.5597796,2,1,772
https://www.realtor.ca/immobilier/27441294/4023-av-papineau-montr%C3%A9al-le-plateau-mont-royal-le-plateau-mont-royal,https://cdn.realtor.ca/listings/TS638623420513430000/reb5/medres/6/15489016_1.jpg,15489016,535000,"4023 Av. Papineau, Montréal (Le Plateau-Mont-Royal), Québec",45.5298831,-73.5676513,3,1,1240
https://www.realtor.ca/immobilier/27441288/828-av-querbes-400-montr%C3%A9al-outremont,https://cdn.realtor.ca/listings/TS638623420508470000/reb5/medres/1/14979581_1.jpg,14979581,1785000,"828 Av. Querbes, #400, Montréal (Outremont), Québec",45.5237665,-73.61251740000002,4,2,2327
https://www.realtor.ca/immobilier/27441269/8590-boul-perras-7-montr%C3%A9al-rivi%C3%A8re-des-prairiespointe-aux-trembles-rivi%C3%A8re-des-prairies,https://cdn.realtor.ca/listings/TS638623420479870000/reb5/medres/9/13363269_1.jpg,13363269,379000,"8590 Boul. Perras, #7, Montréal (Rivière-des-Prairies/Pointe-aux-Trembles), Québec",45.6435645,-73.5863504,3,1,1150
https://www.realtor.ca/immobilier/27441262/786-rue-gilford-montr%C3%A9al-le-plateau-mont-royal-le-plateau-mont-royal,https://cdn.realtor.ca/listings/TS638623420465330000/reb5/medres/1/12198601_1.jpg,12198601,349900,"786 Rue Gilford, Montréal (Le Plateau-Mont-Royal), Québec",45.5277177,-73.5852457,1,1,530
